poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
88795,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213382,1440,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48.6
88795,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213382,1440,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,49.2
88795,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213382,1440,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,GRE,Stein,31116,Jill Stein,0.7
88795,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213382,1440,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,LIB,Oliver,31790,Chase Oliver,0.1
88795,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213383,1440,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,49.3
88795,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213383,1440,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,49.2
88796,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Georgia,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213384,1411,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48.1
88796,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Georgia,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213384,1411,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,49.5
88796,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Georgia,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213384,1411,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,LIB,Oliver,31790,Chase Oliver,1.3
88796,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Georgia,10/12/24,10/17/24,NA,NA,NA,NA,NA,NA,213384,1411,lv,NA,lv,NA,10/20/24 13:11,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,https://www.atlasintel.org/poll/usa-swing-states-2024-10-17,NA,https://cdn.atlasintel.org/023fa4e7-4d28-4903-b4cd-57241a0f5e08.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,IND,West,31097,Cornel West,0.2
